,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-06-25,1.2625250501002003,0.8617234468937875,1.6833667334669338,228.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-26,1.7434869739478958,1.3627254509018036,2.124248496993988,280.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-27,1.4629258517034067,1.1022044088176353,1.8236472945891782,278.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-28,1.282565130260521,0.9218436873747494,1.6232464929859718,272.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-29,0.8416833667334669,0.4609218436873747,1.1823647294589177,254.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-30,0.721442885771543,0.3607214428857715,1.0821643286573146,237.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-01,0.3807615230460922,0.06012024048096192,0.781563126252505,187.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-02,0.3406813627254509,0.04008016032064128,0.7615230460921844,173.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-03,0.4008016032064128,0.04008016032064128,0.8216432865731462,171.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-04,0.9418837675350701,0.48096192384769537,1.3827655310621243,181.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-05,1.1623246492985972,0.7014028056112224,1.5831663326653307,189.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-06,1.282565130260521,0.8416833667334669,1.7034068136272544,201.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-07,1.1823647294589177,0.7414829659318637,1.5831663326653307,201.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-08,1.0821643286573146,0.6613226452905812,1.503006012024048,199.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
