,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-09-03,0.7014028056112224,0.48096192384769537,0.9418837675350701,623.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-04,0.7414829659318637,0.5210420841683366,0.9819639278557114,607.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-05,0.8016032064128256,0.561122244488978,1.0220440881763526,592.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-06,0.8617234468937875,0.6212424849699398,1.1022044088176353,577.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-07,0.8416833667334669,0.5811623246492986,1.0821643286573146,552.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-08,0.781563126252505,0.5210420841683366,1.0220440881763526,520.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-09,0.7014028056112224,0.4408817635270541,0.9619238476953907,484.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-10,0.6813627254509018,0.4008016032064128,0.9418837675350701,458.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-11,0.721442885771543,0.4609218436873747,1.002004008016032,446.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-12,0.9018036072144289,0.6212424849699398,1.1823647294589177,460.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-13,1.1022044088176353,0.8216432865731462,1.3627254509018036,483.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-14,1.2024048096192383,0.9218436873747494,1.4629258517034067,500.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-15,1.2024048096192383,0.9418837675350701,1.4629258517034067,520.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
