,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-06-26,0.8016032064128256,0.5811623246492986,1.002004008016032,755.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-27,0.8416833667334669,0.6212424849699398,1.0420841683366733,746.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-28,0.8216432865731462,0.6012024048096192,1.0220440881763526,708.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-29,0.7615230460921844,0.5410821643286573,0.9819639278557114,658.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-30,0.6212424849699398,0.3807615230460922,0.8416833667334669,595.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-01,0.4408817635270541,0.18036072144288576,0.6813627254509018,506.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-02,0.22044088176352705,0.02004008016032064,0.4609218436873747,409.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-03,0.16032064128256512,0.0,0.42084168336673344,363.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-04,0.3006012024048096,0.04008016032064128,0.6012024048096192,346.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-05,0.7615230460921844,0.4408817635270541,1.0821643286573146,360.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-06,0.9619238476953907,0.6412825651302605,1.2625250501002003,355.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-07,1.2424849699398797,0.9418837675350701,1.56312625250501,399.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-08,1.503006012024048,1.222444889779559,1.8036072144288577,475.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-09,1.7434869739478958,1.4829659318637274,2.024048096192385,545.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-10,1.5430861723446894,1.282565130260521,1.783567134268537,553.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-11,1.342685370741483,1.0821643286573146,1.5831663326653307,582.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-12,1.2024048096192383,0.9418837675350701,1.442885771543086,610.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-13,1.2424849699398797,1.002004008016032,1.4829659318637274,635.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-14,1.342685370741483,1.1022044088176353,1.56312625250501,704.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-15,1.2625250501002003,1.0420841683366733,1.4829659318637274,713.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-16,1.222444889779559,1.002004008016032,1.442885771543086,723.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-17,1.0821643286573146,0.8617234468937875,1.3026052104208417,738.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-18,1.062124248496994,0.8416833667334669,1.2625250501002003,736.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-19,1.0420841683366733,0.8216432865731462,1.2625250501002003,741.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-20,1.002004008016032,0.781563126252505,1.2024048096192383,737.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-21,0.8016032064128256,0.5811623246492986,1.0220440881763526,657.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-22,0.7615230460921844,0.5410821643286573,1.002004008016032,649.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-23,0.7615230460921844,0.5410821643286573,1.002004008016032,648.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-24,0.9819639278557114,0.7414829659318637,1.2024048096192383,649.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-25,1.002004008016032,0.781563126252505,1.2424849699398797,651.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-26,1.062124248496994,0.8216432865731462,1.282565130260521,670.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-27,1.122244488977956,0.9018036072144289,1.342685370741483,696.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-28,1.1422845691382766,0.9218436873747494,1.3827655310621243,711.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-29,1.1422845691382766,0.9218436873747494,1.3627254509018036,727.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-30,1.0821643286573146,0.8617234468937875,1.3026052104208417,729.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-31,1.0821643286573146,0.8617234468937875,1.3026052104208417,744.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-01,1.062124248496994,0.8416833667334669,1.282565130260521,755.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-02,1.0821643286573146,0.8617234468937875,1.3026052104208417,766.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-03,1.122244488977956,0.9018036072144289,1.342685370741483,799.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-04,1.122244488977956,0.9218436873747494,1.342685370741483,813.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-05,1.122244488977956,0.9018036072144289,1.3226452905811623,819.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-06,1.062124248496994,0.8617234468937875,1.282565130260521,832.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-07,1.062124248496994,0.8617234468937875,1.2625250501002003,842.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-08,1.062124248496994,0.8617234468937875,1.2625250501002003,850.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-09,1.122244488977956,0.9218436873747494,1.3226452905811623,889.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-10,1.0821643286573146,0.8817635270541082,1.282565130260521,886.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-11,1.1623246492985972,0.9619238476953907,1.3627254509018036,936.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-12,1.122244488977956,0.9418837675350701,1.3226452905811623,958.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-13,1.1823647294589177,1.002004008016032,1.3827655310621243,989.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-14,1.222444889779559,1.0420841683366733,1.4028056112224447,1063.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-15,1.2625250501002003,1.0821643286573146,1.442885771543086,1112.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-16,1.222444889779559,1.0420841683366733,1.4028056112224447,1128.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-17,1.0821643286573146,0.9218436873747494,1.2625250501002003,1120.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-18,0.9819639278557114,0.8016032064128256,1.1623246492985972,1100.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-19,0.8817635270541082,0.7014028056112224,1.062124248496994,1058.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-20,0.8617234468937875,0.6813627254509018,1.0420841683366733,1040.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-21,0.8416833667334669,0.6412825651302605,1.0220440881763526,999.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-22,0.9619238476953907,0.781563126252505,1.1422845691382766,1038.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-23,1.0220440881763526,0.8416833667334669,1.2024048096192383,1054.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-24,1.1422845691382766,0.9619238476953907,1.3226452905811623,1090.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
