,median,lower,upper,cases,one,hl-2.0,hl0.0,hl2.0,hl4.0,hl6.0,hl8.0,hl10.0,hl12.0
2020-05-24,1.3627254509018036,0.06012024048096192,4.148296593186372,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-25,1.723446893787575,0.08016032064128256,4.789579158316633,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-26,1.723446893787575,0.08016032064128256,4.789579158316633,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-27,2.124248496993988,0.12024048096192384,5.210420841683367,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-28,2.4048096192384767,0.18036072144288576,5.31062124248497,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-29,2.4849699398797593,0.24048096192384769,5.110220440881763,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-30,2.1843687374749496,0.2004008016032064,4.529058116232465,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-31,1.7434869739478958,0.1402805611222445,3.9078156312625247,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-01,1.4629258517034067,0.1002004008016032,3.527054108216433,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-02,1.122244488977956,0.06012024048096192,3.0861723446893787,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-03,0.9819639278557114,0.04008016032064128,2.9458917835671343,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-04,1.002004008016032,0.04008016032064128,3.0460921843687374,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-05,1.1823647294589177,0.06012024048096192,3.406813627254509,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-06,1.4028056112224447,0.08016032064128256,3.74749498997996,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-07,1.6432865731462925,0.1002004008016032,4.008016032064128,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-06-08,1.6032064128256511,0.1002004008016032,3.8877755511022043,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
